title,link,date,source,country,language,translated_title,number_of_characters_title,number_of_words_title,day_of_week,month,year,quarter,is_weekend,is_holiday,source_type,final_redirected_URL,domain_of_URL,subdomain_of_URL,URL_depth,top_level_domain,url_length,author,polarity1,subjectivity,compound,vader_sentiment,summary
Meta's New AI Dating Coach Will Kink Shame You (Unless You're ... - Gizmodo,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vZ2l6bW9kby5jb20vbWV0YXMtbmV3LWFpLWRhdGluZy1jb2FjaC13aWxsLWtpbmstc2hhbWUteW91LTE4NTA5MDQxOTjSAQA?oc=5,2023-10-06,Gizmodo,US,en,metas new ai dating coach will kink shame you unless youre   gizmodo,62,14,Friday,10,2023,4,False,False,Other,https://gizmodo.com/metas-new-ai-dating-coach-will-kink-shame-you-1850904198,gizmodo.com,gizmodo,1,com,76,[],0.1363636363636363,0.4545454545454545,-0.4767,negative,"Last week, Meta introduced AI chat"
Psychotic' Star Wars fan encouraged to kill Queen by AI chatbot ... - TalkTV,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vdGFsay50di9uZXdzLzMwNDIxL3N0YXItd2Fycy1mYW4ta2lsbC1xdWVlbi1haS1jaGF0Ym90LWphaWxlZNIBAA?oc=5,2023-10-06,TalkTV,US,en,psychotic star wars fan encouraged to kill queen by ai chatbot   talktv,64,14,Friday,10,2023,4,False,False,Broadcast Media,https://talk.tv/news/30421/star-wars-fan-kill-queen-ai-chatbot-jailed,talk.tv,talk,3,tv,69,[],-0.5,1.0,-0.6705,negative,"Jaswant Singh Chail,"
Walmart Teases Generative AI Chatbot and Synthetic 3D Images for ... - Voicebot.ai,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vdm9pY2Vib3QuYWkvMjAyMy8xMC8wNi93YWxtYXJ0LXRlYXNlcy1nZW5lcmF0aXZlLWFpLWNoYXRib3QtYW5kLXN5bnRoZXRpYy0zZC1pbWFnZXMtZm9yLW9ubGluZS1zaG9wcGluZy_SAQA?oc=5,2023-10-06,Voicebot.ai,US,en,walmart teases generative ai chatbot and synthetic d images for   voicebotai,70,13,Friday,10,2023,4,False,False,News Outlet,https://voicebot.ai/2023/10/06/walmart-teases-generative-ai-chatbot-and-synthetic-3d-images-for-online-shopping/,voicebot.ai,voicebot,5,ai,112,"['Eric Hal Schwartz', 'Eric Hal Schwartz Is Head Writer', 'Podcast Producer For Voicebot.Ai. Eric Has Been A Professional Writer', 'Editor For More Than A Dozen Years', 'Specializing In The Stories Of How Science', 'Technology Intersect With Business', 'Society. Eric Is Based In New York City.']",0.0,0.0,-0.296,negative,0
Bad news for ‘lazy girl’ employees: A boss who axed 90% of his staff and replaced them with AI says ‘copy and paste’ jobs are done - Fortune,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vZm9ydHVuZS5jb20vMjAyMy8xMC8wNi9zdXVtaXQtc2hhaC1kdXVrYW4tY29weS1hbmQtcGFzdGUtam9icy1hcmUtZG9uZS_SAVNodHRwczovL2ZvcnR1bmUuY29tLzIwMjMvMTAvMDYvc3V1bWl0LXNoYWgtZHV1a2FuLWNvcHktYW5kLXBhc3RlLWpvYnMtYXJlLWRvbmUvYW1wLw?oc=5,2023-10-06,Fortune,US,en,bad news for lazy girl employees a boss who axed  of his staff and replaced them with ai says copy and paste jobs are done  fortune,113,28,Friday,10,2023,4,False,False,News Outlet,https://fortune.com/2023/10/06/suumit-shah-duukan-copy-and-paste-jobs-are-done/,fortune.com,fortune,5,com,79,[],-0.4749999999999999,0.8333333333333333,-0.8074,negative,"Suumit Shah, CEO of"
How robots and AI are changing recycling – and how to keep bad ... - WGLT,https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy53Z2x0Lm9yZy9sb2NhbC1uZXdzLzIwMjMtMTAtMDYvaG93LXJvYm90cy1hbmQtYWktYXJlLWNoYW5naW5nLXJlY3ljbGluZy1hbmQtaG93LXRvLWtlZXAtYmFkLXBsYXN0aWNzLW91dC1vZi15b3VyLWJpbtIBAA?oc=5,2023-10-06,WGLT,US,en,how robots and ai are changing recycling  and how to keep bad   wglt,58,16,Friday,10,2023,4,False,False,Other,https://www.wglt.org/local-news/2023-10-06/how-robots-and-ai-are-changing-recycling-and-how-to-keep-bad-plastics-out-of-your-bin,www.wglt.org,www,3,org,128,['Wglt'],-0.6999999999999998,0.6666666666666666,-0.5423,negative, Midwest Fiber Recycling has six
These Stock-Split Stocks Could Become AI Giants - The Motley Fool,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIzLzEwLzA2L3RoZXNlLXN0b2NrLXNwbGl0LXN0b2Nrcy1jb3VsZC1iZWNvbWUtYWktZ2lhbnRzL9IBAA?oc=5,2023-10-06,The Motley Fool,US,en,these stocksplit stocks could become ai giants  the motley fool,55,11,Friday,10,2023,4,False,False,Blog,https://www.fool.com/investing/2023/10/06/these-stock-split-stocks-could-become-ai-giants/,www.fool.com,www,6,com,90,['Adria Cimino'],0.6,0.9,-0.4404,negative,Two of the world's largest companies
Bad Idea AI ($BAD) Targets Expansion into Asia Market Following Lbank Listing - Yahoo Finance,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9iYWQtaWRlYS1haS1iYWQtdGFyZ2V0cy0xNjAwMDAwNjUuaHRtbNIBTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2JhZC1pZGVhLWFpLWJhZC10YXJnZXRzLTE2MDAwMDA2NS5odG1s?oc=5,2023-10-06,Yahoo Finance,US,en,bad idea ai bad targets expansion into asia market following lbank listing  yahoo finance,79,15,Friday,10,2023,4,False,False,News Outlet,https://finance.yahoo.com/news/bad-idea-ai-bad-targets-160000065.html,finance.yahoo.com,finance,2,com,69,['Bad Idea Ai'],-0.4666666666666665,0.4777777777777778,-0.7906,negative,0
Meta and X questioned by lawmakers over lack of rules against AI ... - The Star Online,https://news.google.com/rss/articles/CBMikwFodHRwczovL3d3dy50aGVzdGFyLmNvbS5teS90ZWNoL3RlY2gtbmV3cy8yMDIzLzEwLzA2L21ldGEtYW5kLXgtcXVlc3Rpb25lZC1ieS1sYXdtYWtlcnMtb3Zlci1sYWNrLW9mLXJ1bGVzLWFnYWluc3QtYWktZ2VuZXJhdGVkLXBvbGl0aWNhbC1kZWVwZmFrZXPSAQA?oc=5,2023-10-06,The Star Online,US,en,meta and x questioned by lawmakers over lack of rules against ai   the star online,70,17,Friday,10,2023,4,False,False,News Outlet,https://www.thestar.com.my/tech/tech-news/2023/10/06/meta-and-x-questioned-by-lawmakers-over-lack-of-rules-against-ai-generated-political-deepfakes,www.thestar.com.my,www,6,my,147,[],0.0,0.0,-0.4019,negative,Google was the first big tech company
Vera wants to use AI to cull generative models’ worst behaviors - TechCrunch,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAyMy8xMC8wNS92ZXJhLXdhbnRzLXRvLXVzZS1haS10by1jdWxsLWdlbmVyYXRpdmUtYWlzLXdvcnN0LWJlaGF2aW9yL9IBYWh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAyMy8xMC8wNS92ZXJhLXdhbnRzLXRvLXVzZS1haS10by1jdWxsLWdlbmVyYXRpdmUtYWlzLXdvcnN0LWJlaGF2aW9yL2FtcC8?oc=5,2023-10-05,TechCrunch,US,en,vera wants to use ai to cull generative models worst behaviors  techcrunch,64,13,Thursday,10,2023,4,False,False,Blog,https://techcrunch.com/2023/10/05/vera-wants-to-use-ai-to-cull-generative-ais-worst-behavior/,techcrunch.com,techcrunch,5,com,93,['Kyle Wiggers'],-0.4,0.55,-0.6249,negative,Vera is a toolkit that
AI is a serious threat to student privacy - Thomas B. Fordham Institute,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vZm9yZGhhbWluc3RpdHV0ZS5vcmcvbmF0aW9uYWwvY29tbWVudGFyeS9haS1zZXJpb3VzLXRocmVhdC1zdHVkZW50LXByaXZhY3nSAQA?oc=5,2023-10-05,Thomas B. Fordham Institute,US,en,ai is a serious threat to student privacy  thomas b fordham institute,59,13,Thursday,10,2023,4,False,False,Academic Journal,https://fordhaminstitute.org/national/commentary/ai-serious-threat-student-privacy,fordhaminstitute.org,fordhaminstitute,3,org,82,"['Daniel Buck', 'Jeff Murray', 'Tim Daly']",-0.3333333333333333,0.6666666666666666,-0.5719,negative,0
