title,link,date,source,country,language,translated_title,number_of_characters_title,number_of_words_title,day_of_week,month,year,quarter,is_weekend,is_holiday,source_type,final_redirected_URL,domain_of_URL,subdomain_of_URL,URL_depth,top_level_domain,url_length,author,compound,vader_sentiment,summary
"Biden AI order sparks tug of war over regulations, oversight - Journal Times",https://news.google.com/rss/articles/CBMioQFodHRwczovL2pvdXJuYWx0aW1lcy5jb20vbmV3cy9uYXRpb24td29ybGQvZ292ZXJubWVudC1wb2xpdGljcy9iaWRlbi1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1leGVjdXRpdmUtb3JkZXItYWkvYXJ0aWNsZV8wMDgyZDlhNi1jYjNkLTVmZTYtYTIwMC0wNzc4MTcyZjdmYTAuaHRtbNIBAA?oc=5,2023-11-12,Journal Times,US,en,biden ai order sparks tug of war over regulations oversight  journal times,64,13,Sunday,11,2023,4,True,False,News Outlet,https://journaltimes.com/news/nation-world/government-politics/biden-artificial-intelligence-executive-order-ai/article_0082d9a6-cb3d-5fe6-a200-0778172f7fa0.html,journaltimes.com,journaltimes,5,com,161,"['Gopal Ratnam', 'Cq-Roll Call', 'Chip Somodevilla', 'Getty Images', 'Straight Arrow News', 'Rawpixel.Com', 'Somyuzu', 'Chinnapong']",-0.5994,negative,"President Joe Biden’s executive order on artificial intelligence is setting up a tug of war. Those who fear agencies empowered under it will overstep their bounds and those who worry the government won’t do enough. The order requires multiple departments to collect public comments, draw up new regulations and prepare a slew of reports."
On Language: A solution for an unnecessary AI problem - Traverse City Record Eagle,https://news.google.com/rss/articles/CBMimAFodHRwczovL3d3dy5yZWNvcmQtZWFnbGUuY29tL25ld3Mvbm9ydGhlcm5fbGl2aW5nL29uLWxhbmd1YWdlLWEtc29sdXRpb24tZm9yLWFuLXVubmVjZXNzYXJ5LWFpLXByb2JsZW0vYXJ0aWNsZV9iMjk0OWMzYS03ZDFhLTExZWUtYjdkOS05M2QwYTc2NzI0YmQuaHRtbNIBAA?oc=5,2023-11-12,Traverse City Record Eagle,US,en,on language a solution for an unnecessary ai problem  traverse city record eagle,69,14,Sunday,11,2023,4,True,False,Other,https://www.record-eagle.com/news/northern_living/on-language-a-solution-for-an-unnecessary-ai-problem/article_b2949c3a-7d1a-11ee-b7d9-93d0a76724bd.html,www.record-eagle.com,www,4,com,152,['Stephen Lewis Columnist'],-0.1027,negative,"Stephen Lewis: The essay has never been a particularly useful tool in the admissions process. He says the purpose of the essay is to help assess a candidate’s possible choice of a major. Lewis: It holds the promise of being another useful tool, but like any tool it can, and will be, misused."
"How to stop AI taking your job and five careers that are doomed to ‘robot takeover,’ expert reveals... - The Sun",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LnRoZXN1bi5jby51ay90ZWNoLzI0NzExMjYyL2hvdy10by1zdG9wLWFpLXRha2luZy15b3VyLWpvYi1kb29tZWQtY2FyZWVycy_SAVlodHRwczovL3d3dy50aGVzdW4uY28udWsvdGVjaC8yNDcxMTI2Mi9ob3ctdG8tc3RvcC1haS10YWtpbmcteW91ci1qb2ItZG9vbWVkLWNhcmVlcnMvYW1wLw?oc=5,2023-11-12,The Sun,US,en,how to stop ai taking your job and five careers that are doomed to robot takeover expert reveals  the sun,92,21,Sunday,11,2023,4,True,False,News Outlet,https://www.thesun.co.uk/tech/24711262/how-to-stop-ai-taking-your-job-doomed-careers/,www.thesun.co.uk,www,4,uk,85,['Charlotte Edwards'],-0.7506,negative,"Renowned AI pioneer and strategist Mark Minevich has just launched his new book Our Planet Powered By AI. The jobs that I believe are most at risk of being replaced by AI in the coming years are cashiers, telemarketers, truck drivers, bookkeeping and accounting clerks and radiologists."
Why you Shouldn't Trust AI to Identify your Mushrooms - Medium,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vbWVkaXVtLmNvbS9AbWFyYy5ib2xsZS93aHkteW91LXNob3VsZG50LXRydXN0LWFpLXRvLWlkZW50aWZ5LXlvdXItbXVzaHJvb21zLWY4YjUxNmNkOTQ0Y9IBAA?oc=5,2023-11-12,Medium,US,en,why you shouldnt trust ai to identify your mushrooms  medium,52,11,Sunday,11,2023,4,True,False,Blog,https://medium.com/@marc.bolle/why-you-shouldnt-trust-ai-to-identify-your-mushrooms-f8b516cd944c,medium.com,medium,2,com,96,['Marc Bolle'],-0.4023,negative,0
Apparition or plain hallucination?: ‘Unidentified’ female figures in AI camera images leave Kerala motor vehicle department spooked - The New Indian Express,https://news.google.com/rss/articles/CBMixgFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9zdGF0ZXMva2VyYWxhLzIwMjMvbm92LzEyL2FwcGFyaXRpb24tb3ItcGxhaW4taGFsbHVjaW5hdGlvbi11bmlkZW50aWZpZWQtZmVtYWxlLWZpZ3VyZXMtaW4tYWktY2FtZXJhLWltYWdlcy1sZWF2ZWtlcmFsYS1tb3Rvci12ZWhpY2xlLWRlcGFydG1lbnQtc3Bvb2tlZC0yNjMyMjU5Lmh0bWzSAcUBaHR0cHM6Ly93d3cubmV3aW5kaWFuZXhwcmVzcy5jb20vc3RhdGVzL2tlcmFsYS8yMDIzL25vdi8xMi9hcHBhcml0aW9uLW9yLXBsYWluLWhhbGx1Y2luYXRpb24tdW5pZGVudGlmaWVkLWZlbWFsZS1maWd1cmVzLWluLWFpLWNhbWVyYS1pbWFnZXMtbGVhdmVrZXJhbGEtbW90b3ItdmVoaWNsZS1kZXBhcnRtZW50LXNwb29rZWQtMjYzMjI1OS5hbXA?oc=5,2023-11-12,The New Indian Express,US,en,apparition or plain hallucination unidentified female figures in ai camera images leave kerala motor vehicle department spooked  the new indian express,135,22,Sunday,11,2023,4,True,False,Press Release Service,https://www.newindianexpress.com/states/kerala/2023/nov/12/apparition-or-plain-hallucination-unidentified-female-figures-in-ai-camera-images-leavekerala-motor-vehicle-department-spooked-2632259.html,www.newindianexpress.com,www,6,com,198,[],-0.0516,negative,The motor vehicle department (MVD) is having to deal with ‘encounters of the spooky kind’ when it comes to its artificial intelligence (AI) cameras in the district. The apparently ‘smart’ road watchers have once again captured footage of an unidentified presence ‘accompanying’ occupants of vehicles in Kannur.
Ted Chiang and Emily Bender worry about the dark side of AI - GeekWire,https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmdlZWt3aXJlLmNvbS8yMDIzL2FpLWNoaWFuZy1iZW5kZXItd2lzaGZ1bC10aGlua2luZy_SAQA?oc=5,2023-11-12,GeekWire,US,en,ted chiang and emily bender worry about the dark side of ai  geekwire,57,14,Sunday,11,2023,4,True,False,Press Release Service,https://www.geekwire.com/2023/ai-chiang-bender-wishful-thinking/,www.geekwire.com,www,3,com,64,['Alan Boyle'],-0.4404,negative,0
"No, ChatGPT And Generative AI Won’t Destroy Humanity (But They Could Severely Damage Your Business) - Forbes",https://news.google.com/rss/articles/CBMikQFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2dsZW5uZ293LzIwMjMvMTEvMTIvbm8tY2hhdGdwdC1hbmQtZ2VuZXJhdGl2ZS1haS13b250LWRlc3Ryb3ktaHVtYW5pdHktYnV0LXRoZXktY291bGQtc2V2ZXJlbHktZGFtYWdlLXlvdXItYnVzaW5lc3Mv0gGVAWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZ2xlbm5nb3cvMjAyMy8xMS8xMi9uby1jaGF0Z3B0LWFuZC1nZW5lcmF0aXZlLWFpLXdvbnQtZGVzdHJveS1odW1hbml0eS1idXQtdGhleS1jb3VsZC1zZXZlcmVseS1kYW1hZ2UteW91ci1idXNpbmVzcy9hbXAv?oc=5,2023-11-12,Forbes,US,en,no chatgpt and generative ai wont destroy humanity but they could severely damage your business  forbes,92,17,Sunday,11,2023,4,True,False,Magazine,https://www.forbes.com/sites/glenngow/2023/11/12/no-chatgpt-and-generative-ai-wont-destroy-humanity-but-they-could-severely-damage-your-business/,www.forbes.com,www,7,com,145,"['Glenn Gow', 'Kevin Payne', 'Cassidy Horton']",-0.8391,negative,"Artificial Intelligence (AI) can damage your business. McKinsey predicts that generative AI alone will add $4.4 trillion to global output annually. 75% of security professionals reported an increase in cyber attacks over the past year, mostly attributed to Generative AI."
"Investing In Artificial Intelligence (AI) Stocks Can Be Risky, But ... - The Motley Fool",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIzLzExLzEyL2ludmVzdGluZy1pbi1haS1zdG9ja3Mtcmlza3ktYnV0LWhlcmVzLXdheS1kby1pdC_SAQA?oc=5,2023-11-12,The Motley Fool,US,en,investing in artificial intelligence ai stocks can be risky but   the motley fool,74,15,Sunday,11,2023,4,True,False,Blog,https://www.fool.com/investing/2023/11/12/investing-in-ai-stocks-risky-but-heres-way-do-it/,www.fool.com,www,6,com,91,['Anthony Di Pizio'],-0.4939,negative,Artificial intelligence (AI) has taken the stock market by storm this year. Investors don't need a crystal ball to capture the upside AI has to offer. The iShares Robotics and Artificial Intelligence Multisector ETF (IRBO) holds shares in 112 different companies around the world.
Deepfake: AI brings a big new menace - Deccan Herald,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmRlY2NhbmhlcmFsZC5jb20vb3Bpbmlvbi9lZGl0b3JpYWwvZGVlcGZha2UtYWktYnJpbmdzLWEtYmlnLW5ldy1tZW5hY2UtMjc2NzgxMtIBaGh0dHBzOi8vd3d3LmRlY2NhbmhlcmFsZC5jb20vYW1wL3N0b3J5L29waW5pb24lMkZlZGl0b3JpYWwlMkZkZWVwZmFrZS1haS1icmluZ3MtYS1iaWctbmV3LW1lbmFjZS0yNzY3ODEy?oc=5,2023-11-12,Deccan Herald,US,en,deepfake ai brings a big new menace  deccan herald,43,10,Sunday,11,2023,4,True,False,News Outlet,https://www.deccanherald.com/opinion/editorial/deepfake-ai-brings-a-big-new-menace-2767812,www.deccanherald.com,www,3,com,90,[],-0.4939,negative,Deepfake videos of some well known persons recently circulated on social media have raised concerns over the misuse of artificial intelligence. The practice has dangerous consequences as it can violate the privacy of individuals and spread misinformation in society. The possibility that deepfakes can be easily created and disseminated makes the threat from them more serious.
"Bangkok Spa Owner Opens Claypot Rice Stall, Cooks With 'AI ... - 8 Days",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LjhkYXlzLnNnL2VhdGFuZGRyaW5rL2hhd2tlcmZvb2QvcG90LW1hc3Rlci1jbGF5cG90LXJpY2UtY2hpbmF0b3duLTgyMTk4NtIBAA?oc=5,2023-11-12,8 Days,US,en,bangkok spa owner opens claypot rice stall cooks with ai    days,58,14,Sunday,11,2023,4,True,False,Other,https://www.8days.sg/eatanddrink/hawkerfood/pot-master-claypot-rice-chinatown-821986,www.8days.sg,www,3,sg,84,['Stella Thng'],-0.2023,negative,0
