title,link,date,source,country,language,translated_title,number_of_characters_title,number_of_words_title,day_of_week,month,year,quarter,is_weekend,is_holiday,source_type,final_redirected_URL,domain_of_URL,subdomain_of_URL,URL_depth,top_level_domain,url_length,author,polarity1,subjectivity,compound,vader_sentiment,summary
Google's Controversial AI Chip Paper Under Scrutiny Again - EnterpriseAI,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmVudGVycHJpc2VhaS5uZXdzLzIwMjMvMTAvMDMvZ29vZ2xlcy1jb250cm92ZXJzaWFsLWFpLWNoaXAtcGFwZXItdW5kZXItc2NydXRpbnktYWdhaW4v0gEA?oc=5,2023-10-03,EnterpriseAI,US,en,googles controversial ai chip paper under scrutiny again  enterpriseai,63,10,Tuesday,10,2023,4,False,False,Press Release Service,https://www.enterpriseai.news/2023/10/03/googles-controversial-ai-chip-paper-under-scrutiny-again/,www.enterpriseai.news,www,5,news,98,['Doug Eadline'],0.55,0.95,-0.2023,negative,0
Bain: Those who 'wait and see' on AI risk being left behind - Technology Magazine,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vdGVjaG5vbG9neW1hZ2F6aW5lLmNvbS9hcnRpY2xlcy9jb21wYW5pZXMtdGhhdC13YWl0LWFuZC1zZWUtb24tYWktcmlzay1iZWluZy1sZWZ0LWJlaGluZNIBAA?oc=5,2023-10-03,Technology Magazine,US,en,bain those who wait and see on ai risk being left behind  technology magazine,67,15,Tuesday,10,2023,4,False,False,Blog,https://technologymagazine.com/articles/companies-that-wait-and-see-on-ai-risk-being-left-behind,technologymagazine.com,technologymagazine,2,com,96,['Marcus Law'],-0.2,0.35,-0.2732,negative,0
How creatives can stop AI from stealing their work - Bulletin of the Atomic Scientists,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vdGhlYnVsbGV0aW4ub3JnLzIwMjMvMTAvaG93LWNyZWF0aXZlcy1jYW4tc3RvcC1haS1mcm9tLXN0ZWFsaW5nLXRoZWlyLXdvcmsv0gFXaHR0cHM6Ly90aGVidWxsZXRpbi5vcmcvMjAyMy8xMC9ob3ctY3JlYXRpdmVzLWNhbi1zdG9wLWFpLWZyb20tc3RlYWxpbmctdGhlaXItd29yay9hbXAv?oc=5,2023-10-03,Bulletin of the Atomic Scientists,US,en,how creatives can stop ai from stealing their work  bulletin of the atomic scientists,72,15,Tuesday,10,2023,4,False,False,Other,https://thebulletin.org/2023/10/how-creatives-can-stop-ai-from-stealing-their-work/,thebulletin.org,thebulletin,4,org,83,"['Sara Goudarzi', 'Anna Mchugh']",0.0,0.0,-0.7096,negative,"Writers, artists, coders"
Iliad's Supercomputer: Reshaping European AI Landscape or Costly ... - VoIp.Review,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vdm9pcC5yZXZpZXcvMjAyMy8xMC8wMi9pbGlhZHMtc3VwZXJjb21wdXRlci1yZXNoYXBpbmctZXVyb3BlYW4tYWktbGFuZHNjYXBlLWNvc3RseS1nYW1ibGUv0gEA?oc=5,2023-10-02,VoIp.Review,US,en,iliads supercomputer reshaping european ai landscape or costly   voipreview,72,11,Monday,10,2023,4,False,False,Academic Journal,https://voip.review/2023/10/02/iliads-supercomputer-reshaping-european-ai-landscape-costly-gamble/,voip.review,voip,5,review,98,['Aiste Kryzanovske'],0.0,0.0,-0.1027,negative,"France-based telecom operator, I"
New York Bans Deepfake Revenge Porn Distribution as AI Use Grows - Bloomberg Law,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vbmV3cy5ibG9vbWJlcmdsYXcuY29tL2luLWhvdXNlLWNvdW5zZWwvbi15LW91dGxhd3MtdW5sYXdmdWwtcHVibGljYXRpb24tb2YtZGVlcGZha2UtcmV2ZW5nZS1wb3Ju0gEA?oc=5,2023-10-02,Bloomberg Law,US,en,new york bans deepfake revenge porn distribution as ai use grows  bloomberg law,67,14,Monday,10,2023,4,False,False,News Outlet,https://news.bloomberglaw.com/in-house-counsel/n-y-outlaws-unlawful-publication-of-deepfake-revenge-porn,news.bloomberglaw.com,news,2,com,104,[],0.1363636363636363,0.4545454545454545,-0.5267,negative,New York Gov. Kathy Hoch
"When it comes to AI and democracy, we cannot be careful enough - Financial Times",https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzM5Yjg5YmU3LTM5OGEtNDE2Ny05ZWViLTU4YWY5N2I3NjRmM9IBAA?oc=5,2023-10-02,Financial Times,US,en,when it comes to ai and democracy we cannot be careful enough  financial times,66,15,Monday,10,2023,4,False,False,News Outlet,https://www.ft.com/content/39b89be7-398a-4167-9eeb-58af97b764f3,www.ft.com,www,2,com,63,[],-0.0333333333333333,0.5,-0.1139,negative,Pay a year upfront and save 20
AI Vincent Van Gogh says you're wrong about his ear - RFI English,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnJmaS5mci9lbi9idXNpbmVzcy1hbmQtdGVjaC8yMDIzMTAwMi1haS12aW5jZW50LXZhbi1nb2doLXNheXMteW91LXJlLXdyb25nLWFib3V0LWhpcy1lYXLSAQA?oc=5,2023-10-02,RFI English,US,en,ai vincent van gogh says youre wrong about his ear  rfi english,53,13,Monday,10,2023,4,False,False,Other,https://www.rfi.fr/en/business-and-tech/20231002-ai-vincent-van-gogh-says-you-re-wrong-about-his-ear,www.rfi.fr,www,3,fr,100,[],-0.25,0.45,-0.4767,negative,0
Over 70% of AI detectors fail to detect chatbot phishing emails - Verdict,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LnZlcmRpY3QuY28udWsvbmV3cy9vdmVyLTcwLW9mLWFpLWRldGVjdG9ycy1mYWlsLXRvLWRldGVjdC1jaGF0Ym90LXBoaXNoaW5nLWVtYWlscy_SAQA?oc=5,2023-10-02,Verdict,US,en,over  of ai detectors fail to detect chatbot phishing emails  verdict,61,13,Monday,10,2023,4,False,False,Other,https://www.verdict.co.uk/over-70-of-ai-detectors-fail-to-detect-chatbot-phishing-emails/,www.verdict.co.uk,www,2,uk,89,['Alice Nunwick'],-0.5,0.2999999999999999,-0.4404,negative,Nearly 71% of AI detectors fail
U.S. Senate Weighs Restricting AI Use in Elections - Government Technology,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmdvdnRlY2guY29tL3BvbGljeS91LXMtc2VuYXRlLXdlaWdocy1yZXN0cmljdGluZy1haS11c2UtaW4tZWxlY3Rpb25z0gEA?oc=5,2023-10-02,Government Technology,US,en,us senate weighs restricting ai use in elections  government technology,64,11,Monday,10,2023,4,False,False,Blog,https://www.govtech.com/policy/u-s-senate-weighs-restricting-ai-use-in-elections,www.govtech.com,www,2,com,80,"['Steve Collins', 'Kennebec Journal']",0.0,0.0,-0.3818,negative,0
AI could finally solve a problem that's long plagued education - Fast Company,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmZhc3Rjb21wYW55LmNvbS85MDk1OTg5My9haS1jb3VsZC1maW5hbGx5LXNvbHZlLWEtcHJvYmxlbS10aGF0cy1sb25nLXBsYWd1ZWQtZWR1Y2F0aW9u0gEA?oc=5,2023-10-02,Fast Company,US,en,ai could finally solve a problem thats long plagued education  fast company,65,13,Monday,10,2023,4,False,False,Magazine,https://www.fastcompany.com/90959893/ai-could-finally-solve-a-problem-thats-long-plagued-education,www.fastcompany.com,www,2,com,98,[],0.05,0.6666666666666666,-0.2263,negative,0
Artists Are Losing the War Against AI - The Atlantic,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LnRoZWF0bGFudGljLmNvbS90ZWNobm9sb2d5L2FyY2hpdmUvMjAyMy8xMC9vcGVuYWktZGFsbC1lLTMtYXJ0aXN0cy13b3JrLzY3NTUxOS_SAQA?oc=5,2023-10-02,The Atlantic,US,en,artists are losing the war against ai  the atlantic,43,10,Monday,10,2023,4,False,False,News Outlet,https://www.theatlantic.com/technology/archive/2023/10/openai-dall-e-3-artists-work/675519/,www.theatlantic.com,www,7,com,91,"['Matteo Wong', 'Damon Beres', 'Charlie Warzel', 'Nancy Walecki']",0.0,0.0,-0.7579,negative,OpenAI has introduced a tool for
