title,link,date,source,country,language,translated_title,number_of_characters_title,number_of_words_title,day_of_week,month,year,quarter,is_weekend,is_holiday,source_type,final_redirected_URL,domain_of_URL,subdomain_of_URL,URL_depth,top_level_domain,url_length,author,polarity1,subjectivity,compound,vader_sentiment,summary
"The panic over Zoom and AI, explained - Vox.com",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LnZveC5jb20vdGVjaG5vbG9neS8yMDIzLzgvOS8yMzgyNDc5OS96b29tLWFpLXByaXZhY3ktcmV0dXJuLXRvLW9mZmljZdIBAA?oc=5,2023-08-09,Vox.com,US,en,the panic over zoom and ai explained  voxcom,39,9,Wednesday,8,2023,3,False,False,Other,https://www.vox.com/technology/2023/8/9/23824799/zoom-ai-privacy-return-to-office,www.vox.com,www,6,com,81,"['Sara Morrison', 'Elise Craig', 'Nicole Narea', 'Aja Romano', 'Li Zhou', 'Andrew Prokop', 'Aug']",0.0,0.0,-0.5106,negative,"Zoom, the company that helped"
Is AI a threat to the world of fabric design? - BBC.com,https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02NjQzNzkyONIBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02NjQzNzkyOC5hbXA?oc=5,2023-08-09,BBC.com,US,en,is ai a threat to the world of fabric design  bbccom,44,12,Wednesday,8,2023,3,False,False,Broadcast Media,https://www.bbc.com/news/business-66437928,www.bbc.com,www,2,com,42,[],0.0,0.0,-0.5267,negative,summarize: 
"Why Nvidia, C3.ai, Palantir, and Other AI Stocks Crumbled Today - The Motley Fool",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIzLzA4LzA5L3doeS1udmlkaWEtYzNhaS1wYWxhbnRpci1hbmQtb3RoZXItYWktc3RvY2tzLWNydW1iL9IBAA?oc=5,2023-08-09,The Motley Fool,US,en,why nvidia cai palantir and other ai stocks crumbled today  the motley fool,68,14,Wednesday,8,2023,3,False,False,Blog,https://www.fool.com/investing/2023/08/09/why-nvidia-c3ai-palantir-and-other-ai-stocks-crumb/,www.fool.com,www,6,com,93,['Danny Vena'],0.2375,0.6375,-0.4404,negative,Morgan Stanley equity strategist Edward Stanley says
Pope Francis warns about AI’s dangers - CNN,https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wOC8wOS90ZWNoL3BvcGUtZnJhbmNpcy1haS9pbmRleC5odG1s0gFCaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMy8wOC8wOS90ZWNoL3BvcGUtZnJhbmNpcy1haS9pbmRleC5odG1s?oc=5,2023-08-09,CNN,US,en,pope francis warns about ais dangers  cnn,36,8,Wednesday,8,2023,3,False,False,News Outlet,https://www.cnn.com/2023/08/09/tech/pope-francis-ai/index.html,www.cnn.com,www,6,com,62,['Brian Fung'],0.0,0.0,-0.5574,negative,Pope Francis warns that artificial intelligence could
Zoom is entangled in an AI privacy mess - ZDNet,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3LnpkbmV0LmNvbS9hcnRpY2xlL3pvb20taXMtZW50YW5nbGVkLWluLWFuLWFpLXByaXZhY3ktbWVzcy_SAVFodHRwczovL3d3dy56ZG5ldC5jb20vZ29vZ2xlLWFtcC9hcnRpY2xlL3pvb20taXMtZW50YW5nbGVkLWluLWFuLWFpLXByaXZhY3ktbWVzcy8?oc=5,2023-08-09,ZDNet,US,en,zoom is entangled in an ai privacy mess  zdnet,38,10,Wednesday,8,2023,3,False,False,News Outlet,https://www.zdnet.com/article/zoom-is-entangled-in-an-ai-privacy-mess/,www.zdnet.com,www,3,com,70,"['Steven Vaughan-Nichols', 'Senior Contributing Editor', 'Aug.', 'At A.M. Pt']",-0.175,0.175,-0.3612,negative,Zoom changed its Terms of Service
AI hysteria is a distraction: algorithms already sow disinformation in Africa - The Guardian,https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy50aGVndWFyZGlhbi5jb20vZ2xvYmFsLWRldmVsb3BtZW50LzIwMjMvYXVnLzA5L2FpLWNoYXRncHQtZG9vbWVyaXNtLXRocmVhdC1hbHJlYWR5LWhlcmUtYmlnLXRlY2gtYWxnb3JpdGhtcy1zb3ctZGlzaW5mb3JtYXRpb27SAYoBaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL2dsb2JhbC1kZXZlbG9wbWVudC8yMDIzL2F1Zy8wOS9haS1jaGF0Z3B0LWRvb21lcmlzbS10aHJlYXQtYWxyZWFkeS1oZXJlLWJpZy10ZWNoLWFsZ29yaXRobXMtc293LWRpc2luZm9ybWF0aW9u?oc=5,2023-08-09,The Guardian,US,en,ai hysteria is a distraction algorithms already sow disinformation in africa  the guardian,79,14,Wednesday,8,2023,3,False,False,News Outlet,https://www.theguardian.com/global-development/2023/aug/09/ai-chatgpt-doomerism-threat-already-here-big-tech-algorithms-sow-disinformation,www.theguardian.com,www,5,com,138,['Odanga Madung'],0.0,0.0,-0.6705,negative,More than 70 countries are due to
Why watermarking AI-generated content won’t guarantee trust online - MIT Technology Review,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LnRlY2hub2xvZ3lyZXZpZXcuY29tLzIwMjMvMDgvMDkvMTA3NzUxNi93YXRlcm1hcmtpbmctYWktdHJ1c3Qtb25saW5lL9IBVWh0dHBzOi8vd3d3LnRlY2hub2xvZ3lyZXZpZXcuY29tLzIwMjMvMDgvMDkvMTA3NzUxNi93YXRlcm1hcmtpbmctYWktdHJ1c3Qtb25saW5lL2FtcC8?oc=5,2023-08-09,MIT Technology Review,US,en,why watermarking aigenerated content wont guarantee trust online  mit technology review,79,12,Wednesday,8,2023,3,False,False,Academic Journal,https://www.technologyreview.com/2023/08/09/1077516/watermarking-ai-trust-online/,www.technologyreview.com,www,6,com,81,['Claire Leibowicz'],0.0,0.0,-0.5334,negative,The Pentagon appeared to be on fire
"AI Scams, Spam, Hacking, Are Ruining the Internet - Business Insider",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vYWktc2NhbS1zcGFtLWhhY2tpbmctcnVpbmluZy1pbnRlcm5ldC1jaGF0Z3B0LXByaXZhY3ktbWlzaW5mb3JtYXRpb24tMjAyMy040gEA?oc=5,2023-08-08,Business Insider,US,en,ai scams spam hacking are ruining the internet  business insider,58,11,Tuesday,8,2023,3,False,False,News Outlet,https://www.businessinsider.com/ai-scam-spam-hacking-ruining-internet-chatgpt-privacy-misinformation-2023-8,www.businessinsider.com,www,1,com,107,['Shubham Agarwal'],0.0,0.0,-0.8074,negative, AI is rewriting the mechanics of the
WATCH: How Artificial Intelligence helped UK woman catch her boyfriend cheating - Firstpost,https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LmZpcnN0cG9zdC5jb20vd29ybGQvd2F0Y2gtaG93LWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWhlbHBlZC11ay13b21hbi1jYXRjaC1oZXItYm95ZnJpZW5kLWNoZWF0aW5nLTEyOTcxNjgyLmh0bWzSAYABaHR0cHM6Ly93d3cuZmlyc3Rwb3N0LmNvbS93b3JsZC93YXRjaC1ob3ctYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtaGVscGVkLXVrLXdvbWFuLWNhdGNoLWhlci1ib3lmcmllbmQtY2hlYXRpbmctMTI5NzE2ODIuaHRtbC9hbXA?oc=5,2023-08-08,Firstpost,US,en,watch how artificial intelligence helped uk woman catch her boyfriend cheating  firstpost,79,13,Tuesday,8,2023,3,False,False,News Outlet,https://www.firstpost.com/world/watch-how-artificial-intelligence-helped-uk-woman-catch-her-boyfriend-cheating-12971682.html,www.firstpost.com,www,2,com,124,['Published On'],-0.6,1.0,-0.128,negative,"Mia Dio, 22,"
How to block OpenAI's new AI-training web crawler from ingesting your data - ZDNet,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnpkbmV0LmNvbS9hcnRpY2xlL2hvdy10by1ibG9jay1vcGVuYWlzLW5ldy1haS10cmFpbmluZy13ZWItY3Jhd2xlci1mcm9tLWluZ2VzdGluZy15b3VyLWRhdGEv0gFzaHR0cHM6Ly93d3cuemRuZXQuY29tL2dvb2dsZS1hbXAvYXJ0aWNsZS9ob3ctdG8tYmxvY2stb3BlbmFpcy1uZXctYWktdHJhaW5pbmctd2ViLWNyYXdsZXItZnJvbS1pbmdlc3RpbmcteW91ci1kYXRhLw?oc=5,2023-08-08,ZDNet,US,en,how to block openais new aitraining web crawler from ingesting your data  zdnet,69,14,Tuesday,8,2023,3,False,False,News Outlet,https://www.zdnet.com/article/how-to-block-openais-new-ai-training-web-crawler-from-ingesting-your-data/,www.zdnet.com,www,3,com,104,"['Maria Diaz', 'Staff Writer', 'Aug.', 'At P.M. Pt']",0.1363636363636363,0.4545454545454545,-0.4404,negative,ChatGPT creator OpenAI has
