title,link,date,source,country,language,translated_title,number_of_characters_title,number_of_words_title,day_of_week,month,year,quarter,is_weekend,is_holiday,source_type,final_redirected_URL,domain_of_URL,subdomain_of_URL,URL_depth,top_level_domain,url_length,author,compound,vader_sentiment,summary
"Generative AI slashes cloud migration hassles, says McKinsey partner - The Register",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LnRoZXJlZ2lzdGVyLmNvbS8yMDIzLzEwLzExL2dlbmVyYXRpdmVfYWlfY2xvdWRfbWlncmF0aW9uL9IBSWh0dHBzOi8vd3d3LnRoZXJlZ2lzdGVyLmNvbS9BTVAvMjAyMy8xMC8xMS9nZW5lcmF0aXZlX2FpX2Nsb3VkX21pZ3JhdGlvbi8?oc=5,2023-10-11,The Register,US,en,generative ai slashes cloud migration hassles says mckinsey partner  the register,72,12,Wednesday,10,2023,4,False,False,News Outlet,https://www.theregister.com/2023/10/11/generative_ai_cloud_migration/,www.theregister.com,www,5,com,69,['Laura Dobberstein'],-0.2023,negative,0
Local AI taken offline after China mix-up - 台北時報,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3LnRhaXBlaXRpbWVzLmNvbS9OZXdzL3RhaXdhbi9hcmNoaXZlcy8yMDIzLzEwLzExLzIwMDM4MDc1MjfSAQA?oc=5,2023-10-11,台北時報,US,en,local ai taken offline after china mixup  台北時報,40,9,Wednesday,10,2023,4,False,False,Other,https://www.taipeitimes.com/News/taiwan/archives/2023/10/11/2003807527,www.taipeitimes.com,www,7,com,70,[],-0.128,negative,"A trial version of the Chinese Knowledge and Information Processing (CKIP) Lab’s large language model was removed from its Web site after a test query of “When is National Day?” yielded the result Oct. 1. The goal of CKIP-LLaMa-2-7b is to enable greater traditional Chinese processing capability, Academia Sinica said."
"Leading voice in AI, who worries about its consequences, favors ... - NPR",https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMy8xMC8xMS8xMjA1MDMzNTk3L2xlYWRpbmctdm9pY2UtaW4tYWktd2hvLXdvcnJpZXMtYWJvdXQtaXRzLWNvbnNlcXVlbmNlcy1mYXZvcnMtcmVndWxhdGluZy1pdNIBAA?oc=5,2023-10-11,NPR,US,en,leading voice in ai who worries about its consequences favors   npr,61,13,Wednesday,10,2023,4,False,False,Broadcast Media,https://www.npr.org/2023/10/11/1205033597/leading-voice-in-ai-who-worries-about-its-consequences-favors-regulating-it,www.npr.org,www,5,org,117,[],-0.2023,negative,Mustafa Suleyman co-founded the AI firm DeepMind. He says governments need to prevent anyone from using AI to destabilize the world. He likens the situation to that of nuclear nonproliferation. Suley man: AI is an amplifier of good power and bad power.
Is trying to watermark AI images a losing battle? - Emerging Tech Brew,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmVtZXJnaW5ndGVjaGJyZXcuY29tL3N0b3JpZXMvMjAyMy8xMC8xMS93YXRlcm1hcmstYWktaW1hZ2Vz0gEA?oc=5,2023-10-11,Emerging Tech Brew,US,en,is trying to watermark ai images a losing battle  emerging tech brew,58,13,Wednesday,10,2023,4,False,False,Blog,https://www.emergingtechbrew.com/stories/2023/10/11/watermark-ai-images,www.emergingtechbrew.com,www,5,com,71,[],-0.6369,negative,"Researchers at the University of Maryland tested how easy it was to fool various watermarking techniques. The team tested how the introduction of false positives could muddy the waters. “I don’t believe that by just looking at an image we will be able to tell if this is AI-generated or real,” co-author says."
Cover story: AI risks and hazards - HR Magazine,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LmhybWFnYXppbmUuY28udWsvY29udGVudC9mZWF0dXJlcy9jb3Zlci1zdG9yeS1haS1yaXNrcy1hbmQtaGF6YXJkcy_SAQA?oc=5,2023-10-11,HR Magazine,US,en,cover story ai risks and hazards  hr magazine,39,9,Wednesday,10,2023,4,False,False,Magazine,https://www.hrmagazine.co.uk/content/features/cover-story-ai-risks-and-hazards/,www.hrmagazine.co.uk,www,4,uk,79,[],-0.2732,negative," AI looks set to be a game-changer for HR, but adoption is fraught with potential risks. HR’s to-do list is already much longer than the working day, so overseeing the implementation of AI may be a stretch too far, particularly in organisations with large employee bases."
Adobe teases new AI audio dubbing and interactive clothing tech - The Verge,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIzLzEwLzExLzIzOTEyNjE0L2Fkb2JlLW1heC1zbmVha3MtZ2VuZXJhdGl2ZS1haS1hdWRpby0zZC10ZWNoLXByZXZpZXfSAQA?oc=5,2023-10-11,The Verge,US,en,adobe teases new ai audio dubbing and interactive clothing tech  the verge,63,13,Wednesday,10,2023,4,False,False,News Outlet,https://www.theverge.com/2023/10/11/23912614/adobe-max-sneaks-generative-ai-audio-3d-tech-preview,www.theverge.com,www,5,com,97,['Jess Weatherbed'],-0.296,negative,Adobe is showcasing 11 new AI-powered prototype tools and features at its annual Max conference. The company uses Sneaks to both showcase the future technologies it’s currently working on and gauge public interest that could direct how they’re developed going forward.
Fox News AI Newsletter: Tech billionaire says there is a ‘low probability’ humans will survive without AI - Fox News,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL3RlY2gvZm94LW5ld3MtYWktbmV3c2xldHRlci10ZWNoLWJpbGxpb25haXJlLXNheXMtbG93LXByb2JhYmlsaXR5LWh1bWFucy1zdXJ2aXZlLXdpdGhvdXQtYWnSAXdodHRwczovL3d3dy5mb3huZXdzLmNvbS90ZWNoL2ZveC1uZXdzLWFpLW5ld3NsZXR0ZXItdGVjaC1iaWxsaW9uYWlyZS1zYXlzLWxvdy1wcm9iYWJpbGl0eS1odW1hbnMtc3Vydml2ZS13aXRob3V0LWFpLmFtcA?oc=5,2023-10-11,Fox News,US,en,fox news ai newsletter tech billionaire says there is a low probability humans will survive without ai  fox news,97,20,Wednesday,10,2023,4,False,False,News Outlet,https://www.foxnews.com/tech/fox-news-ai-newsletter-tech-billionaire-says-low-probability-humans-survive-without-ai,www.foxnews.com,www,2,com,115,['Fox News Staff'],-0.2732,negative,"Radiologist Bhavik Patel, M.D. has been named chief AI officer at Mayo Clinic Arizona. Johnson spends millions every year in order to find a way to make his organs similar to that of an 18-year-old male. 'Godfather of AI' warns technology could takeover humanity."
IIIT-H working on AI-driven model to detect oral cancer from photos - Times of India,https://news.google.com/rss/articles/CBMikAFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L2h5ZGVyYWJhZC9paWl0LWgtd29ya2luZy1vbi1haS1kcml2ZW4tbW9kZWwtdG8tZGV0ZWN0LW9yYWwtY2FuY2VyLWZyb20tcGhvdG9zL2FydGljbGVzaG93LzEwNDMyODg4Mi5jbXPSAZQBaHR0cHM6Ly90aW1lc29maW5kaWEuaW5kaWF0aW1lcy5jb20vY2l0eS9oeWRlcmFiYWQvaWlpdC1oLXdvcmtpbmctb24tYWktZHJpdmVuLW1vZGVsLXRvLWRldGVjdC1vcmFsLWNhbmNlci1mcm9tLXBob3Rvcy9hbXBfYXJ0aWNsZXNob3cvMTA0MzI4ODgyLmNtcw?oc=5,2023-10-11,Times of India,US,en,iiith working on aidriven model to detect oral cancer from photos  times of india,70,15,Wednesday,10,2023,4,False,False,News Outlet,https://timesofindia.indiatimes.com/city/hyderabad/iiit-h-working-on-ai-driven-model-to-detect-oral-cancer-from-photos/articleshow/104328882.cms,timesofindia.indiatimes.com,timesofindia,5,com,144,['Tnn'],-0.6597,negative,Anant Ambani and Radhika Merchant's pre-wedding bash. James Anderson enters 700 Test wicket club. Virat Kohli joins Sunil Gavaskar in elite club. Nita Ambani Dhirubhai Ambani quotes on success.
Stupid Artificial Intelligence - hackernoon.com,https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vaGFja2Vybm9vbi5jb20vc3R1cGlkLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNl0gEA?oc=5,2023-10-11,hackernoon.com,US,en,stupid artificial intelligence  hackernooncom,43,5,Wednesday,10,2023,4,False,False,Other,https://hackernoon.com/stupid-artificial-intelligence,hackernoon.com,hackernoon,1,com,53,[],-0.0772,negative,summarize: Biomedical Engineer and amateur A.I. enthusiast. Passionate about writing and Football. Receive Stories from @yumnas on Facebook and Twitter. Back to Mail Online home. Back To the page you came from.
AI software shows significant improvement in skin cancer detection ... - EurekAlert,https://news.google.com/rss/articles/CBMiMGh0dHBzOi8vd3d3LmV1cmVrYWxlcnQub3JnL25ld3MtcmVsZWFzZXMvMTAwMzk2M9IBAA?oc=5,2023-10-11,EurekAlert,US,en,ai software shows significant improvement in skin cancer detection   eurekalert,72,12,Wednesday,10,2023,4,False,False,Other,https://www.eurekalert.org/news-releases/1003963,www.eurekalert.org,www,2,org,48,[],-0.1531,negative,"Artificial intelligence (AI) software has reached a 100% detection rate for melanoma. The study assessed 22,356 patients with suspected skin cancers over a 2.5-year period. The third version of the AI software marks a significant improvement from the first model, tested in 2021."
AI speeds up identification brain tumor type - Science Daily,https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vd3d3LnNjaWVuY2VkYWlseS5jb20vcmVsZWFzZXMvMjAyMy8xMC8yMzEwMTExODIxMTEuaHRt0gEA?oc=5,2023-10-11,Science Daily,US,en,ai speeds up identification brain tumor type  science daily,51,10,Wednesday,10,2023,4,False,False,News Outlet,https://www.sciencedaily.com/releases/2023/10/231011182111.htm,www.sciencedaily.com,www,4,com,62,[],-0.3818,negative,0
New AI model can identify neuroanatomical regions vulnerable to ... - News-Medical.Net,https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5uZXdzLW1lZGljYWwubmV0L25ld3MvMjAyMzEwMTEvTmV3LUFJLW1vZGVsLWNhbi1pZGVudGlmeS1uZXVyb2FuYXRvbWljYWwtcmVnaW9ucy12dWxuZXJhYmxlLXRvLWFnZS1yZWxhdGVkLWNoYW5nZXMuYXNweNIBAA?oc=5,2023-10-11,News-Medical.Net,US,en,new ai model can identify neuroanatomical regions vulnerable to   newsmedicalnet,75,12,Wednesday,10,2023,4,False,False,News Outlet,https://www.news-medical.net/news/20231011/New-AI-model-can-identify-neuroanatomical-regions-vulnerable-to-age-related-changes.aspx,www.news-medical.net,www,3,net,131,[],-0.2263,negative,"Mount Sinai researchers say they have, for the first time ever, used AI to develop an algorithm they term ""HistoAge"" The algorithm predicts age at death based on the cellular composition of human brain tissue specimens with an average accuracy of within 5.45 years. The aging brain undergoes structural and cellular changes that can impact function."
OpenAI's 'unreasonable claims' exhaust AI-ethics researchers - Business Insider,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vb3BlbmFpLWV0aGljcy1yZXNlYXJjaGVycy11bnJlYXNvbmFibGUtY2xhaW1zLTIwMjMtYWktMTAwLTEw0gFgaHR0cHM6Ly93d3cuYnVzaW5lc3NpbnNpZGVyLmNvbS9vcGVuYWktZXRoaWNzLXJlc2VhcmNoZXJzLXVucmVhc29uYWJsZS1jbGFpbXMtMjAyMy1haS0xMDAtMTA_YW1w?oc=5,2023-10-11,Business Insider,US,en,openais unreasonable claims exhaust aiethics researchers  business insider,71,9,Wednesday,10,2023,4,False,False,News Outlet,https://www.businessinsider.com/openai-ethics-researchers-unreasonable-claims-2023-ai-100-10,www.businessinsider.com,www,1,com,92,['Monica Melton'],-0.296,negative,"Researchers are spending more time critiquing artificial-intelligence systems for their grandiose claims and unacknowledged harms. This takes time away from researchers being able to develop more-thoughtful technology. ""The space rewards unreasonable claims about what you can do,"" Ali Alkhatib said."
Missed Nvidia? 2 Promising AI Stocks to Buy Now - The Motley Fool,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIzLzEwLzExLzItcHJvbWlzaW5nLWFpLXN0b2Nrcy10by1idXktbm93LXRoYXQtY291bGQtc29hci_SAQA?oc=5,2023-10-11,The Motley Fool,US,en,missed nvidia  promising ai stocks to buy now  the motley fool,53,13,Wednesday,10,2023,4,False,False,Blog,https://www.fool.com/investing/2023/10/11/2-promising-ai-stocks-to-buy-now-that-could-soar/,www.fool.com,www,6,com,91,['Manali Bhade'],-0.34,negative,"Datadog (DDOG -1.29%) and SentinelOne (S 1.14%) are not only less expensive but also are at the forefront of the ongoing AI transformation. Datadog's revenue soared by 25% year-over-year to reach $509 million, while adjusted earnings per share (EPS) was up by 50%. SentinelOne has seen its shares rise 14% so far this year."
Frustrated with Your Insurance Company? AI Could Help. - Built In,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vYnVpbHRpbi5jb20vYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UvaW5zdXJhbmNlLWFpLWF1Z21lbnRhdGlvbtIBAA?oc=5,2023-10-11,Built In,US,en,frustrated with your insurance company ai could help  built in,55,11,Wednesday,10,2023,4,False,False,Other,https://builtin.com/artificial-intelligence/insurance-ai-augmentation,builtin.com,builtin,2,com,69,[],-0.1779,negative,"36 percent of those in business, legal, and professional services are already using AI regularly for work, personal reasons, or both. AI can help companies assess risk more efficiently and accurately, as well as potentially transform the insurance underwriting process from data mastery to fraudulent claims."
The New AI Panic - The Atlantic,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LnRoZWF0bGFudGljLmNvbS90ZWNobm9sb2d5L2FyY2hpdmUvMjAyMy8xMC90ZWNobm9sb2d5LWV4cG9ydHMtYWktcHJvZ3JhbXMtcmVndWxhdGlvbnMtY2hpbmEvNjc1NjA1L9IBAA?oc=5,2023-10-11,The Atlantic,US,en,the new ai panic  the atlantic,25,7,Wednesday,10,2023,4,False,False,News Outlet,https://www.theatlantic.com/technology/archive/2023/10/technology-exports-ai-programs-regulations-china/675605/,www.theatlantic.com,www,7,com,111,"['Karen Hao', 'Damon Beres', 'Matteo Wong', 'Charlie Warzel', 'Nancy Walecki']",-0.5106,negative,"Washington and Beijing have been locked in a conflict over AI development. Now a new battle line is being drawn. Commerce is considering a new blockade on a broad category of general-purpose AI programs, not just physical parts. If enacted, the limits could generate more friction with China."
Hamas assault on Israel shows surprise still possible in AI era - The Express Tribune,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vdHJpYnVuZS5jb20ucGsvc3RvcnkvMjQ0MDMwOS9oYW1hcy1hc3NhdWx0LW9uLWlzcmFlbC1zaG93cy1zdXJwcmlzZS1zdGlsbC1wb3NzaWJsZS1pbi1haS1lcmHSAWpodHRwczovL3RyaWJ1bmUuY29tLnBrL3N0b3J5LzI0NDAzMDkvaGFtYXMtYXNzYXVsdC1vbi1pc3JhZWwtc2hvd3Mtc3VycHJpc2Utc3RpbGwtcG9zc2libGUtaW4tYWktZXJhP2FtcD0x?oc=5,2023-10-10,The Express Tribune,US,en,hamas assault on israel shows surprise still possible in ai era  the express tribune,71,15,Tuesday,10,2023,4,False,False,News Outlet,https://tribune.com.pk/story/2440309/hamas-assault-on-israel-shows-surprise-still-possible-in-ai-era,tribune.com.pk,tribune,3,pk,100,[],-0.4019,negative,"A week before Hamas' surprise attack on Israel, Israeli officials had boasted use of AI and high-tech on Gaza border. Israeli officials publicly spoke of using such technology in their last major war in Gaza in 2021. The failure of those systems to deliver advanced warning of Saturday's Hamas attack represents a failure of intelligence likely to be studied for years."
Why Artificial Intelligence (AI) Isn't a Fad for These 2 Stocks - The Motley Fool,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIzLzEwLzEwL3doeS1haS1pc250LWEtZmFkLWZvci10aGVzZS0yLXN0b2Nrcy_SAQA?oc=5,2023-10-10,The Motley Fool,US,en,why artificial intelligence ai isnt a fad for these  stocks  the motley fool,67,15,Tuesday,10,2023,4,False,False,Blog,https://www.fool.com/investing/2023/10/10/why-ai-isnt-a-fad-for-these-2-stocks/,www.fool.com,www,6,com,79,['Bradley Guichard'],-0.1195,negative,CrowdStrike and Nvidia both have AI deeply ingrained in their business. CrowdStrike's AI-powered Falcon platform separates itself from the pack. Nvidia's DGX platform provides the hardware and software needed to handle the massive workloads for AI workloads like ChatGPT.
How artificial intelligence is fabricating scandals on Swiss politicians - SWI swissinfo.ch in English,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LnN3aXNzaW5mby5jaC9lbmcvYnVzaW5lc3MvaG93LWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWlzLWZhYnJpY2F0aW5nLXNjYW5kYWxzLW9uLXN3aXNzLXBvbGl0aWNpYW5zLzQ4ODcyNzg40gEA?oc=5,2023-10-10,SWI swissinfo.ch in English,US,en,how artificial intelligence is fabricating scandals on swiss politicians  swi swissinfoch in english,89,14,Tuesday,10,2023,4,False,False,Other,https://www.swissinfo.ch/eng/business/how-artificial-intelligence-is-fabricating-scandals-on-swiss-politicians/48872788,www.swissinfo.ch,www,4,ch,119,"['Valentin Tombez', 'Philéas Authier']",-0.0258,negative,"AlgorithmWatch and AI Forensics tested the reliability of Bing Chat on the Swiss federal election. Bing Chat has implicated several federal election candidates, and even political parties, in existing cases or created false scandals. Green party politician Balthasar Glättli was one of the victims."
Colbert Notes That Not Even AI Would Joke About the Violence in ... - TheWrap,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnRoZXdyYXAuY29tL3N0ZXBoZW4tY29sYmVydC10aGUtbGF0ZS1zaG93LWNoYXRncHQtaXNyYWVsLXBhbGVzdGluZS1jYnMtdmlkZW8v0gEA?oc=5,2023-10-10,TheWrap,US,en,colbert notes that not even ai would joke about the violence in   thewrap,63,15,Tuesday,10,2023,4,False,False,Other,https://www.thewrap.com/stephen-colbert-the-late-show-chatgpt-israel-palestine-cbs-video/,www.thewrap.com,www,2,com,89,"['Ross A. Lincoln', 'Haleigh Foutch', 'Stephanie Kaloi', 'Ross Joined Thewrap As A News Editor In', 'He Was Previously Associate Editor At Deadline', 'Before That Comics Editor At The Escapist', 'Features Editor At Game Front. As A Writer', 'In Addition To Thewrap His Bylines Can Be Found At Deadline', 'Box Office', 'The Los Angeles Times']",-0.4404,negative,"“The world is still in shock over the horrific surprise attack that Hamas launched this weekend against Israel,” Colbert said at the start of his monologue. “It is heartbreaking to see violence escalate and we hope and pray that someday peace is possible,’ he continued."
